date,method,solver_success,soc_violations,power_violations,simultaneous_charge_discharge_violations,soc_transition_violations,max_abs_soc_transition_error,initial_soc_error,terminal_soc_error,nan_or_inf_count
2017-12-06,Peak-aware LightGBM (m=2),True,0,0,0,0,1.0800249583553523e-12,0.0,0.0,0
2017-12-07,Peak-aware LightGBM (m=2),True,0,0,0,0,1.7053025658242404e-12,0.0,0.0,0
2017-12-08,Peak-aware LightGBM (m=2),True,0,0,0,0,2.2737367544323206e-12,0.0,0.0,0
2017-12-09,Peak-aware LightGBM (m=2),True,0,0,0,0,3.467448550509289e-12,0.0,0.0,0
2017-12-10,Peak-aware LightGBM (m=2),True,0,0,0,0,2.0463630789890885e-12,0.0,0.0,0
2017-12-11,Peak-aware LightGBM (m=2),True,0,0,0,0,2.2737367544323206e-12,0.0,0.0,0
2017-12-12,Peak-aware LightGBM (m=2),True,0,0,0,0,3.126388037344441e-12,0.0,0.0,0
2017-12-13,Peak-aware LightGBM (m=2),True,0,0,0,0,4.888534022029489e-12,0.0,0.0,0
2017-12-14,Peak-aware LightGBM (m=2),True,0,0,0,0,3.637978807091713e-12,0.0,0.0,0
2017-12-15,Peak-aware LightGBM (m=2),True,0,0,0,0,2.7853275241795927e-12,0.0,0.0,0
2017-12-16,Peak-aware LightGBM (m=2),True,0,0,0,0,3.183231456205249e-12,0.0,0.0,0
2017-12-17,Peak-aware LightGBM (m=2),True,0,0,0,0,2.1600499167107046e-12,0.0,0.0,0
2017-12-18,Peak-aware LightGBM (m=2),True,0,0,0,0,1.6484591469634324e-12,0.0,0.0,0
2017-12-19,Peak-aware LightGBM (m=2),True,0,0,0,0,3.467448550509289e-12,0.0,0.0,0
2017-12-20,Peak-aware LightGBM (m=2),True,0,0,0,0,4.547473508864641e-12,0.0,0.0,0
2017-12-21,Peak-aware LightGBM (m=2),True,0,0,0,0,3.410605131648481e-12,0.0,0.0,0
2017-12-22,Peak-aware LightGBM (m=2),True,0,0,0,0,1.4210854715202004e-12,0.0,0.0,0
2017-12-23,Peak-aware LightGBM (m=2),True,0,0,0,0,3.069544618483633e-12,0.0,0.0,0
2017-12-24,Peak-aware LightGBM (m=2),True,0,0,0,0,4.092726157978177e-12,0.0,0.0,0
2017-12-25,Peak-aware LightGBM (m=2),True,0,0,0,0,9.663381206337363e-13,0.0,0.0,0
2017-12-26,Peak-aware LightGBM (m=2),True,0,0,0,0,2.3305801732931286e-12,0.0,0.0,0
2017-12-27,Peak-aware LightGBM (m=2),True,0,0,0,0,3.353761712787673e-12,0.0,0.0,0
2017-12-28,Peak-aware LightGBM (m=2),True,0,0,0,0,1.2505552149377763e-12,0.0,0.0,0
2017-12-29,Peak-aware LightGBM (m=2),True,0,0,0,0,5.4569682106375694e-12,0.0,0.0,0
2017-12-30,Peak-aware LightGBM (m=2),True,0,0,0,0,4.547473508864641e-12,0.0,0.0,0
2017-12-31,Peak-aware LightGBM (m=2),True,0,0,0,0,3.410605131648481e-12,0.0,0.0,0
2017-12-02,Oracle,True,0,0,0,0,4.263256414560601e-12,0.0,0.0,0
2017-12-03,Oracle,True,0,0,0,0,2.1600499167107046e-12,0.0,0.0,0
2017-12-04,Oracle,True,0,0,0,0,3.922195901395753e-12,0.0,0.0,0
2017-12-05,Oracle,True,0,0,0,0,3.0127011996228248e-12,0.0,0.0,0
2017-12-06,Oracle,True,0,0,0,0,1.4779288903810084e-12,0.0,0.0,0
2017-12-07,Oracle,True,0,0,0,0,3.922195901395753e-12,0.0,0.0,0
2017-12-08,Oracle,True,0,0,0,0,3.979039320256561e-12,0.0,0.0,0
2017-12-09,Oracle,True,0,0,0,0,5.4001247917767614e-12,0.0,0.0,0
2017-12-10,Oracle,True,0,0,0,0,2.5579538487363607e-12,0.0,0.0,0
2017-12-11,Oracle,True,0,0,0,0,2.1600499167107046e-12,0.0,0.0,0
2017-12-12,Oracle,True,0,0,0,0,4.206412995699793e-12,0.0,0.0,0
2017-12-13,Oracle,True,0,0,0,0,4.774847184307873e-12,0.0,0.0,0
2017-12-14,Oracle,True,0,0,0,0,1.7053025658242404e-12,0.0,0.0,0
2017-12-15,Oracle,True,0,0,0,0,3.296918293926865e-12,0.0,0.0,0
2017-12-16,Oracle,True,0,0,0,0,4.718003765447065e-12,0.0,0.0,0
2017-12-17,Oracle,True,0,0,0,0,2.3874235921539366e-12,0.0,0.0,0
2017-12-18,Oracle,True,0,0,0,0,1.9895196601282805e-12,0.0,0.0,0
2017-12-19,Oracle,True,0,0,0,0,4.263256414560601e-12,0.0,0.0,0
2017-12-20,Oracle,True,0,0,0,0,3.183231456205249e-12,0.0,0.0,0
2017-12-21,Oracle,True,0,0,0,0,4.092726157978177e-12,0.0,0.0,0
2017-12-22,Oracle,True,0,0,0,0,3.581135388230905e-12,0.0,0.0,0
2017-12-23,Oracle,True,0,0,0,0,3.524291969370097e-12,0.0,0.0,0
2017-12-24,Oracle,True,0,0,0,0,1.4779288903810084e-12,0.0,0.0,0
2017-12-25,Oracle,True,0,0,0,0,2.5579538487363607e-12,0.0,0.0,0
2017-12-26,Oracle,True,0,0,0,0,1.9326762412674725e-12,0.0,0.0,0
2017-12-27,Oracle,True,0,0,0,0,2.2737367544323206e-12,0.0,0.0,0
2017-12-28,Oracle,True,0,0,0,0,4.206412995699793e-12,0.0,0.0,0
2017-12-29,Oracle,True,0,0,0,0,3.865352482534945e-12,0.0,0.0,0
2017-12-30,Oracle,True,0,0,0,0,2.4442670110147446e-12,0.0,0.0,0
2017-12-31,Oracle,True,0,0,0,0,1.4210854715202004e-12,0.0,0.0,0
