date,method,lambda,alpha,scenario_count,residual_block_count,negative_values_clipped,sampled_indices_sha256,scenario_min_load,scenario_max_load,scenario_expected_peak,scenario_cvar_peak,stage
2017-11-13,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,fef5285570f1f5d1239740e1c0040d57849192b7cf494ef40fbedbfd61ccc30f,383.7542736018,814.8437579291,467.0361144532,505.4771966657,validation_selection
2017-11-14,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,d3f723ae6ebe4dece7ee0f9c00809a106ff44974da2320e842dc729c1f9e626a,382.4420349933,813.5315193205,474.7897317743,557.9144416421,validation_selection
2017-11-15,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,ff01f1f1b68682257153fb99b6225fb47dbe33620698f31a40b735f293facbbb,387.1057986565,818.1952829837,473.2618361346,531.2863940045,validation_selection
2017-11-16,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,00288f5d019b6a997fbb64313a389364b886ae92f94674ac57c10b666e1681a2,386.4932399123,817.5827242396,473.9603711583,559.8779021462,validation_selection
2017-11-17,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,fe2a72033d3a3cdf73df31943d2821b3d160aff7b8ea8de5cef097c4f8b9827b,380.9718916250,812.0613759523,468.9734230815,506.3801762043,validation_selection
2017-11-18,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,ba34045b6391cad3c03bf1aa6e1cfe435d67ec3f5e200dd0f8b134c4cb08ebd9,376.0070384331,815.3323520341,451.9062674255,546.8672679719,validation_selection
2017-11-19,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,5449bd2d7b1901d526908f12dcf4f82c36f30ff87d850dd333d1ad64134e3acc,363.3792834464,814.9515343627,438.2470764279,484.5211801967,validation_selection
2017-11-20,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,e3bbebf5dd88f3a590ed89597a5e73e936195d0f4aa897021f2c5b56999c662b,382.7746912461,813.8641755733,469.8861658485,585.3500556003,validation_selection
2017-11-21,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,253d2f933ee66eacd61f5490ef811e6e79628e3f8065c39678243817e14e13bb,388.4085055274,819.4979898547,474.1033292336,528.0540211945,validation_selection
2017-11-22,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,661bc727be71d8edaa3e33568ece41dcba5e83f5a51d4a7f15021710b06a4fec,387.5853653061,818.6748496333,474.1207034520,532.9069482893,validation_selection
2017-11-23,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,931771aca333a1c5899c673b62d92ab32b17b396510d27397dcae75f3c021fba,397.8106831967,828.9001675239,471.5656395777,516.2012781317,validation_selection
2017-11-24,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,21814eac795e36fbba04e5fc024883245775e63b43688e1644c7992c1851b71e,374.2179774508,812.9040711171,450.6609629333,544.3148343931,validation_selection
2017-11-25,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,005a041732f29605c638a31f881d1949b004a612dedf73ce016ad269a6a83e2a,366.3815161930,810.3395584344,441.0866766351,468.5790409676,validation_selection
2017-11-26,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,a4cebfda7b387a30ef6a72c4af89e7ffa8ca5ca3433ffc38009397d05229e7c5,365.6693618798,809.8247892502,445.4336733307,505.5385639700,validation_selection
2017-11-27,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,761cab3b51ec5d5b59e2b85ac206992ba1834ecaff86171c02911d0bcd6d0d0d,376.5106060038,811.0300131194,455.6115817674,563.1295872876,validation_selection
2017-11-28,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,73dce5ed42a33a9d0fefab32153fb3a2c71f7d20ef16399876f2b2293a132cd3,388.8630034607,819.9524877880,477.1353390002,591.7582818007,validation_selection
2017-11-29,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,5136e6e28db8175fbce8e7e9644a66543675d46d72fd099bac0a5a57e1ba38a1,385.2671107685,816.3565950958,474.4640790108,514.2921570040,validation_selection
2017-11-30,robust_lambda_1,1.0000000000,0.9000000000,100,30,0,d09735943278a140cfe26c8789cfbcd017ae57fe6376f10dd185e4af08fcbdd7,391.0983341848,822.1878185120,474.7260027454,547.5238551955,validation_selection
