timestamp,date,method,actual_load,forecast_load,charge,discharge,battery_power,soc_start,soc_end,soc,realized_grid_load,scenario_expected_peak,scenario_cvar_peak,solver_status
2017-12-25 16:00:00,2017-12-25,LightGBM robust,390.0000000000,454.8579612127,0.0000000000,21.0800883176,-21.0800883176,392.3915421160,370.1711779956,370.1711779956,368.9199116824,450.3613795270,502.9524836912,0: optimal
2017-12-25 17:00:00,2017-12-25,LightGBM robust,390.0000000000,452.7276721430,0.0000000000,18.6892394598,-18.6892394598,370.1711779956,350.4709898526,350.4709898526,371.3107605402,450.3613795270,502.9524836912,0: optimal
2017-12-25 18:00:00,2017-12-25,LightGBM robust,387.0000000000,448.2770601510,0.0000000000,14.9322620111,-14.9322620111,350.4709898526,334.7310036614,334.7310036614,372.0677379889,450.3613795270,502.9524836912,0: optimal
2017-12-25 19:00:00,2017-12-25,LightGBM robust,386.0000000000,436.9876060572,0.0000000000,3.4422342000,-3.4422342000,334.7310036614,331.1025702242,331.1025702242,382.5577658000,450.3613795270,502.9524836912,0: optimal
2017-12-25 20:00:00,2017-12-25,LightGBM robust,383.0000000000,437.8614431964,0.0000000000,1.5909011335,-1.5909011335,331.1025702242,329.4256131862,329.4256131862,381.4090988665,450.3613795270,502.9524836912,0: optimal
2017-12-25 21:00:00,2017-12-25,LightGBM robust,383.0000000000,428.2102941578,9.7302036212,0.0000000000,9.7302036212,329.4256131862,338.6564948483,338.6564948483,392.7302036212,450.3613795270,502.9524836912,0: optimal
2017-12-25 22:00:00,2017-12-25,LightGBM robust,382.0000000000,424.1418457337,15.5686014331,0.0000000000,15.5686014331,338.6564948483,353.4261670019,353.4261670019,397.5686014331,450.3613795270,502.9524836912,0: optimal
2017-12-25 23:00:00,2017-12-25,LightGBM robust,382.0000000000,423.1784934878,13.6637619572,0.0000000000,13.6637619572,353.4261670019,366.3887497592,366.3887497592,395.6637619572,450.3613795270,502.9524836912,0: optimal
2017-12-26 00:00:00,2017-12-26,LightGBM robust,379.0000000000,418.1208412708,22.5791268565,0.0000000000,22.5791268565,366.3887497592,387.8091902925,387.8091902925,401.5791268565,453.1381352055,517.2531498249,0: optimal
2017-12-26 01:00:00,2017-12-26,LightGBM robust,382.0000000000,415.2530102112,24.1748345906,0.0000000000,24.1748345906,387.8091902925,410.7434521017,410.7434521017,406.1748345906,453.1381352055,517.2531498249,0: optimal
2017-12-26 02:00:00,2017-12-26,LightGBM robust,382.0000000000,413.9304022962,0.0000000000,183.1943748796,-183.1943748796,410.7434521017,217.6396257183,217.6396257183,198.8056251204,453.1381352055,517.2531498249,0: optimal
2017-12-26 03:00:00,2017-12-26,LightGBM robust,383.0000000000,412.1020412540,27.7119360334,0.0000000000,27.7119360334,217.6396257183,243.9294765898,243.9294765898,410.7119360334,453.1381352055,517.2531498249,0: optimal
2017-12-26 04:00:00,2017-12-26,LightGBM robust,381.0000000000,412.5858852091,29.9842456853,0.0000000000,29.9842456853,243.9294765898,272.3750296761,272.3750296761,410.9842456853,453.1381352055,517.2531498249,0: optimal
